entity_id,segment_id,year,quarter,metric_id,sub_metric_id,value,currency,org_currency,conversion_rate,decimal_conversion,scope,source_extracted_id,source_type,source_original_id,data_quality,source_uri,notes
apple,mac,2012,Q2,revenue,,5000000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2012,Q3,revenue,,4900000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2012,Q4,revenue,,6600000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2013,Q1,revenue,,5500000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2013,Q2,revenue,,5400000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2013,Q3,revenue,,4800000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2013,Q4,revenue,,5600000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2014,Q1,revenue,,6300000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2014,Q2,revenue,,5500000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2014,Q3,revenue,,5500000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
apple,mac,2014,Q4,revenue,,6600000000,usd,usd,,1.00E+09,,business_of_apps,Graph,apple,,,
